Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
773.5824,79.58129,2.139238,1.853444,1.941839,1.765646,1.779767,1.785079,1946.387
773.7348,81.81306,2.159275,1.84554,1.933469,1.718951,1.725631,1.725425,1974.371
773.8872,83.72315,2.148096,1.850235,1.943494,1.731366,1.735269,1.735584,1981.311
774.0396,82.42203,2.149581,1.838026,1.930582,1.778669,1.77934,1.783792,1992.35
774.192,78.28194,2.155453,1.854924,1.955267,1.79724,1.801914,1.810651,1999.906
774.3444,75.57426,2.17233,1.870224,1.956092,1.821192,1.83063,1.829942,1986.139
774.4968,75.67457,2.195689,1.869827,1.959594,1.861144,1.872025,1.863883,1965.022
774.6492,74.323,2.194329,1.888147,1.970697,1.878372,1.881319,1.868971,1952.832
774.8016,74.62636,2.196129,1.88309,2.000087,1.847881,1.835927,1.831176,1949.198
774.954,72.91418,2.217493,1.885937,2.035863,1.895029,1.868675,1.889935,1945.599
775.1064,74.76737,2.215383,1.872813,2.04662,1.920225,1.914032,1.965649,1938.411
775.2588,74.51661,2.209465,1.879777,2.055358,1.882572,1.910645,1.9724,1925.441
775.4112,76.02817,2.189912,1.915363,2.056628,1.802166,1.874117,1.911018,1927.825
775.5636,75.00249,2.186656,1.941101,2.090461,1.732,1.808445,1.801013,1969.796
775.716,74.25021,2.152375,2.014107,2.117213,1.769485,1.796505,1.761443,2053.525
775.8684,73.19702,2.127629,2.071822,2.166171,1.859682,1.836756,1.800146,2129.424
776.0208,69.28214,2.116119,2.153077,2.189903,2.181979,2.102997,2.076362,2133.708
776.1732,66.02026,2.12578,2.245401,2.187999,2.788351,2.731107,2.714903,2102.378
776.3256,65.26574,2.133377,2.269327,2.215381,2.969124,2.997005,3.020422,2071.954
776.478,69.29166,2.136655,2.300337,2.255552,2.68981,2.793929,2.854334,2039.988
776.6304,71.55048,2.140954,2.343965,2.288984,2.51549,2.547947,2.569426,2020.421
776.7828,72.60591,2.147152,2.310985,2.210012,2.986718,3.032345,3.056294,2003.818
776.9352,71.86567,2.158378,2.264245,2.23997,2.83635,2.927833,3.00458,1982.325
777.0876,73.16602,2.154123,2.308799,2.302801,2.337708,2.356972,2.375873,1963.832
777.24,72.66203,2.152998,2.272101,2.280205,2.198905,2.212777,2.231836,1955.246
777.3924,75.86887,2.156523,2.274206,2.275504,2.197287,2.215146,2.236529,1960.11
