Depth (mbsf),GR,RHOB,RES,Vp
59.5528,77.93571,1.59805,0.691549,1542.908
59.7052,75.70987,1.61137,0.691624,1549.126
288.6684,87.13461,1.584847,0.691641,1542.968
294.4596,89.20208,1.627215,0.691651,1556.438
172.4812,99.47988,1.8565,0.691742,1544.249
233.746,108.0526,1.775802,0.691791,1528.226
424.8556,69.95098,1.95152,0.691817,1604.926
295.5264,93.75176,1.573894,0.691908,1560.096
206.0092,100.2084,1.792896,0.691976,1531.787
322.138,102.6765,1.950648,0.692018,1570.425
297.1444,102.6765,1.950648,0.692018,1570.425
280.5328,102.1518,1.85245,0.69216,1544.661
172.3288,102.1518,1.85245,0.69216,1544.661
297.9648,92.34788,1.540464,0.692345,1464.946
202.1992,80.30885,1.90868,0.692534,1582.41
233.8984,103.3818,1.791264,0.692708,1526.121
254.32,83.87328,1.935656,0.692839,1559.588
295.0692,91.06654,1.575988,0.692866,1560.155
297.1444,89.8588,1.770709,0.692915,1575.893
222.1636,89.8588,1.770709,0.692915,1575.893
211.1908,76.67323,1.777241,0.692986,1541.106
297.3552,95.82568,1.550458,0.693106,1453.282
227.4976,90.0224,1.773868,0.693393,1569.169
281.4472,102.1477,1.829287,0.693489,1541.784
175.072,102.1477,1.829287,0.693489,1541.784
288.8208,85.83318,1.580183,0.693524,1545.009
227.3452,90.71034,1.773671,0.693609,1569.687
298.8208,91.39828,1.773474,0.693825,1570.208
227.1928,91.39828,1.773474,0.693825,1570.208
298.6684,92.41208,1.773374,0.693833,1569.184
226.7356,92.41208,1.773374,0.693833,1569.184
250.6624,90.29852,1.979259,0.693891,1588.029
60.01,77.63647,1.696334,0.693993,1592.538
196.8652,98.26278,1.716657,0.694051,1511.071
294.0024,97.42194,1.645117,0.694189,1559.71
294.7644,91.10368,1.580018,0.694202,1570.297
193.5124,25.49838,1.521809,0.694229,1538
294.9168,92.48301,1.56713,0.694354,1568.192
222.0112,89.41483,1.768575,0.69441,1575.836
201.8944,97.13477,1.672057,0.694414,1534.8
226.888,92.07414,1.773408,0.69442,1570.036
69.916,96.92574,1.855049,0.694489,1575.093
300.5556,95.48495,1.572024,0.694674,1477.676
206.1616,90.97066,1.798167,0.694741,1537.882
174.9196,100.515,1.8287,0.694841,1542.597
299.7936,90.04468,1.575612,0.694858,1506.537
227.0404,91.73621,1.773441,0.695008,1570.409
223.3828,90.03498,1.761087,0.695051,1571.794
298.3636,89.21734,1.77417,0.695175,1571.571
225.8212,89.21734,1.77417,0.695175,1571.571
175.834,108.5639,1.829842,0.695341,1540.884
299.946,93.58537,1.576389,0.695507,1502.023
261.4828,96.272,1.858448,0.695739,1530.036
115.1788,96.272,1.858448,0.695739,1530.036
290.9544,99.1279,1.62464,0.695863,1612.339
424.7032,71.93103,1.9519,0.695866,1605.515
512.3332,74.01731,1.924301,0.695925,1678.328
288.516,98.00737,1.590321,0.695925,1536.082
428.056,83.73813,1.977606,0.69625,1614.345
317.8708,87.62146,1.815464,0.696268,1572.315
284.3428,87.62146,1.815464,0.696268,1572.315
294.1548,97.34621,1.632115,0.696355,1551.699
226.5832,91.80463,1.773063,0.696362,1568.338
115.0264,98.17466,1.854554,0.696382,1528.531
293.3928,93.97781,1.576145,0.696404,1569.742
115.3312,95.86709,1.860134,0.696602,1530.958
