Depth (mbsf),GR,Vp,RES,RHOB
114.4168,103.9637,1518.332,0.689783,1.843924
222.4684,92.9773,1575.312,0.689944,1.770411
172.9384,94.94051,1543.785,0.689948,1.861637
421.5028,79.25401,1556.303,0.689961,1.907459
255.082,79.25401,1556.303,0.689961,1.907459
172.1764,104.8237,1545.051,0.690009,1.85195
173.0908,95.74492,1543.776,0.69021,1.858672
108.016,88.04709,1519.223,0.690229,1.853026
206.314,89.04443,1543.482,0.690253,1.807312
108.1684,86.26865,1518.908,0.69043,1.847757
204.4852,85.00351,1511.026,0.690519,1.743887
300.0984,90.40752,1485.83,0.690641,1.573482
60.9808,94.3105,1531.393,0.690835,1.779192
297.2028,97.00081,1462.372,0.690895,1.552686
280.6852,94.13611,1543.802,0.690907,1.864601
172.786,94.13611,1543.802,0.690907,1.864601
218.2576,84.17836,1595.031,0.691097,1.875394
168.6712,62.52029,1638.214,0.691261,1.695946
52.8472,72.80923,1592.222,0.691301,1.684272
172.6336,96.808,1543.94,0.691324,1.860551
222.316,91.41805,1575.727,0.691427,1.77056
59.4004,73.06329,1536.903,0.691475,1.663135
59.5528,77.93571,1542.908,0.691549,1.59805
59.7052,75.70987,1549.126,0.691624,1.61137
288.6684,87.13461,1542.968,0.691641,1.584847
294.4596,89.20208,1556.438,0.691651,1.627215
172.4812,99.47988,1544.249,0.691742,1.8565
233.746,108.0526,1528.226,0.691791,1.775802
424.8556,69.95098,1604.926,0.691817,1.95152
295.5264,93.75176,1560.096,0.691908,1.573894
206.0092,100.2084,1531.787,0.691976,1.792896
322.138,102.6765,1570.425,0.692018,1.950648
297.1444,102.6765,1570.425,0.692018,1.950648
280.5328,102.1518,1544.661,0.69216,1.85245
172.3288,102.1518,1544.661,0.69216,1.85245
297.9648,92.34788,1464.946,0.692345,1.540464
202.1992,80.30885,1582.41,0.692534,1.90868
233.8984,103.3818,1526.121,0.692708,1.791264
254.32,83.87328,1559.588,0.692839,1.935656
295.0692,91.06654,1560.155,0.692866,1.575988
297.1444,89.8588,1575.893,0.692915,1.770709
222.1636,89.8588,1575.893,0.692915,1.770709
211.1908,76.67323,1541.106,0.692986,1.777241
297.3552,95.82568,1453.282,0.693106,1.550458
227.4976,90.0224,1569.169,0.693393,1.773868
281.4472,102.1477,1541.784,0.693489,1.829287
175.072,102.1477,1541.784,0.693489,1.829287
288.8208,85.83318,1545.009,0.693524,1.580183
227.3452,90.71034,1569.687,0.693609,1.773671
298.8208,91.39828,1570.208,0.693825,1.773474
227.1928,91.39828,1570.208,0.693825,1.773474
298.6684,92.41208,1569.184,0.693833,1.773374
226.7356,92.41208,1569.184,0.693833,1.773374
250.6624,90.29852,1588.029,0.693891,1.979259
60.01,77.63647,1592.538,0.693993,1.696334
196.8652,98.26278,1511.071,0.694051,1.716657
294.0024,97.42194,1559.71,0.694189,1.645117
294.7644,91.10368,1570.297,0.694202,1.580018
193.5124,25.49838,1538,0.694229,1.521809
294.9168,92.48301,1568.192,0.694354,1.56713
222.0112,89.41483,1575.836,0.69441,1.768575
201.8944,97.13477,1534.8,0.694414,1.672057
226.888,92.07414,1570.036,0.69442,1.773408
69.916,96.92574,1575.093,0.694489,1.855049
300.5556,95.48495,1477.676,0.694674,1.572024
206.1616,90.97066,1537.882,0.694741,1.798167
174.9196,100.515,1542.597,0.694841,1.8287
299.7936,90.04468,1506.537,0.694858,1.575612
227.0404,91.73621,1570.409,0.695008,1.773441
223.3828,90.03498,1571.794,0.695051,1.761087
298.3636,89.21734,1571.571,0.695175,1.77417
225.8212,89.21734,1571.571,0.695175,1.77417
175.834,108.5639,1540.884,0.695341,1.829842
299.946,93.58537,1502.023,0.695507,1.576389
261.4828,96.272,1530.036,0.695739,1.858448
115.1788,96.272,1530.036,0.695739,1.858448
290.9544,99.1279,1612.339,0.695863,1.62464
424.7032,71.93103,1605.515,0.695866,1.9519
288.516,98.00737,1536.082,0.695925,1.590321
512.3332,74.01731,1678.328,0.695925,1.924301
428.056,83.73813,1614.345,0.69625,1.977606
317.8708,87.62146,1572.315,0.696268,1.815464
284.3428,87.62146,1572.315,0.696268,1.815464
294.1548,97.34621,1551.699,0.696355,1.632115
226.5832,91.80463,1568.338,0.696362,1.773063
115.0264,98.17466,1528.531,0.696382,1.854554
293.3928,93.97781,1569.742,0.696404,1.576145
115.3312,95.86709,1530.958,0.696602,1.860134
294.612,91.77294,1564.83,0.696782,1.610093
115.4836,95.46217,1531.65,0.696855,1.861819
299.0316,87.81085,1498.052,0.696891,1.555594
417.2356,83.93725,1569.153,0.696935,1.969434
242.2804,83.93725,1569.153,0.696935,1.969434
107.254,95.42121,1517.173,0.697027,1.850014
114.874,100.0773,1526.25,0.697028,1.85066
173.3956,96.45241,1543.573,0.697087,1.851074
299.3364,91.70305,1490.04,0.697257,1.544853
188.2348,87.0808,1582.713,0.697438,1.493987
204.79,86.06214,1511.026,0.697526,1.763971
300.4032,91.86897,1475.472,0.697541,1.567079
280.8376,96.54932,1543.695,0.697567,1.855707
173.2432,96.54932,1543.695,0.697567,1.855707
205.0948,70.22475,1564.565,0.697581,1.798902
226.4308,91.19719,1568.062,0.697839,1.772753
298.516,90.58974,1568.556,0.697879,1.772442
226.2784,90.58974,1568.556,0.697879,1.772442
226.126,90.13228,1569.562,0.697919,1.773018
225.6688,88.63392,1572.202,0.697926,1.773521
225.9736,89.6748,1570.662,0.697959,1.773594
295.9836,97.52195,1548.716,0.698118,1.571994
60.8284,73.29218,1532.045,0.698363,1.797196
280.3804,110.1674,1545.471,0.698413,1.850951
171.8716,110.1674,1545.471,0.698413,1.850951
172.024,107.4956,1545.326,0.698543,1.851451
210.4288,90.44329,1532.626,0.698979,1.752652
114.5692,102.9718,1520.576,0.69904,1.845345
215.458,109.1331,1581.514,0.699083,1.828776
