Depth (mbsf),GR,RHOB,RES,Vp
87.63,71.61373,1.913885,1.30075,1557.511
87.7824,73.72012,1.901409,1.311163,1550.053
87.9348,72.21556,1.900643,1.285677,1563.418
88.0872,72.0686,1.902982,1.363529,1563.418
88.2396,69.9622,1.897521,1.36485,1566.527
88.392,69.05947,1.901466,1.37583,1568.086
88.5444,68.38241,1.910369,1.385396,1571.212
88.6968,67.02195,1.898979,1.319634,1571.212
88.8492,69.42925,1.911859,1.31904,1574.352
89.0016,70.02414,1.942463,1.356313,1574.352
89.154,71.83597,1.935662,1.362262,1568.086
89.3064,74.24327,1.917663,1.311985,1568.086
89.4588,71.54201,1.912593,1.398856,1564.971
89.6112,69.73653,1.897099,1.328213,1568.086
89.7636,66.12557,1.896163,1.216772,1571.212
89.916,66.94662,1.903715,1.366777,1601.352
90.0684,69.49737,1.916901,1.301035,1606.348
90.2208,67.54144,1.958689,1.386322,1612.828
90.3732,66.79562,1.941948,1.320181,1619.361
90.5256,66.35126,1.946014,1.279292,1607.098
90.678,66.95308,1.942925,1.476122,1594.635
90.8304,64.84064,1.937917,1.390944,1582.364
90.9828,63.10704,1.936432,1.496505,1579.052
91.1352,65.05591,1.934343,1.481529,1590.044
91.2876,64.9115,1.917789,1.40048,1601.19
91.44,64.83962,1.891562,1.396592,1608.469
91.5924,55.51841,1.892194,1.378587,1598.342
91.7448,60.78437,1.879782,1.371341,1588.341
91.8972,56.12022,1.899997,1.442716,1580.747
92.0496,65.59898,1.896934,1.375209,1575.298
92.202,65.82466,1.897038,1.311467,1595.199
92.3544,72.5952,1.896737,1.307406,1608.003
92.5068,71.84292,1.892948,1.303881,1600.76
92.6592,71.31632,1.882916,1.313442,1593.581
92.8116,71.83902,1.889409,1.314845,1586.467
92.964,71.08674,1.900879,1.323244,1586.416
93.1164,70.03021,1.915257,1.367407,1591.15
93.2688,70.84703,1.914854,1.361551,1592.431
93.4212,72.35159,1.902872,1.320401,1592.431
93.5736,71.7531,1.89669,1.317654,1592.431
93.726,69.58607,1.898468,1.332717,1592.703
93.8784,69.96221,1.895227,1.345917,1594.724
94.0308,73.72363,1.908639,1.348558,1596.75
94.1832,72.51353,1.892832,1.342547,1598.781
94.3356,72.28432,1.909343,1.328891,1600.818
94.488,69.42565,1.915953,1.41528,1601.352
94.6404,71.75714,1.911236,1.609188,1601.352
94.7928,67.84879,1.908079,1.566288,1601.352
94.9452,64.83966,1.907003,1.282939,1601.352
95.0976,62.13182,1.91517,0.97241,1600.607
95.25,64.38866,1.908057,1.38452,1598.44
95.4024,66.3446,1.911367,1.316139,1596.279
95.5548,68.90901,1.916955,1.365387,1594.123
95.7072,69.81175,1.912079,1.300553,1591.486
95.8596,69.96221,1.918482,1.30949,1587.061
96.012,64.54578,1.932284,1.291197,1585.031
96.1644,62.58985,1.930645,1.300932,1591.657
96.3168,61.38306,1.902012,1.310743,1584.79
96.4692,67.84542,1.876969,1.26409,1576.232
96.6216,69.49385,1.882002,1.307994,1567.766
96.774,71.30247,1.891596,1.299057,1568.372
96.9264,67.774,1.906893,1.29477,1570.96
97.0788,72.44474,1.903823,1.309997,1573.557
97.2312,72.74565,1.919811,1.310214,1574.884
97.3836,71.0154,1.914065,1.309182,1574.884
97.536,64.09441,1.928334,1.323884,1577.503
97.6884,60.92885,1.937373,1.323924,1580.668
97.8408,62.12934,1.923914,1.262818,1583.845
97.9932,65.58984,1.915531,1.262305,1580.668
98.1456,66.94993,1.910172,1.268732,1577.503
98.298,66.50171,1.906251,1.266712,1577.503
98.4504,64.69624,1.90171,1.241363,1577.503
98.6028,69.05947,1.889839,1.213174,1574.352
98.7552,70.11266,1.896717,1.229247,1571.212
98.9076,70.18131,1.867085,1.228215,1560.323
99.06,69.57223,1.878898,1.25023,1560.323
99.2124,70.92635,1.861119,1.246063,1560.323
99.3648,71.45952,1.88564,1.223513,1560.323
99.5172,68.15673,1.881143,1.208874,1571.212
99.6696,67.24749,1.893339,1.216256,1571.212
99.822,66.93992,1.887819,1.169667,1571.212
99.9744,65.42899,1.877774,1.171091,1563.418
100.1268,67.09053,1.858564,1.179161,1560.323
100.2792,66.78984,1.844364,1.176188,1560.323
100.4316,70.92666,1.82964,1.196403,1560.323
100.584,71.82225,1.835038,1.217827,1560.323
100.7364,74.38303,1.84234,1.219403,1560.323
100.8888,73.55942,1.855769,1.181184,1568.086
101.0412,71.46017,1.832177,1.126362,1568.086
101.1936,73.04337,1.822054,1.122614,1563.418
101.346,70.18173,1.785589,1.135991,1560.323
101.4984,67.99702,1.786771,1.126473,1551.108
101.6508,64.68699,1.761756,1.128403,1543.512
101.8032,64.38615,1.755445,1.116117,1540.495
101.9556,62.57829,1.781475,1.101531,1543.512
102.108,58.49088,1.782546,1.095294,1546.542
102.2604,55.18694,1.762444,1.108785,1546.542
102.4128,53.91353,1.746063,1.099464,1554.167
102.5652,54.38997,1.734627,1.09677,1554.167
102.7176,56.49459,1.739195,1.086553,1554.167
102.87,55.79076,1.751238,1.067638,1554.167
103.0224,54.77519,1.756765,1.056627,1554.167
103.1748,50.41373,1.765086,1.06788,1554.167
103.3272,51.49369,1.753948,1.061297,1554.167
103.4796,47.76989,1.74014,1.031694,1560.323
103.632,45.73661,1.73012,1.027835,1560.323
103.7844,40.8426,1.731394,1.053135,1560.323
103.9368,38.81144,1.74147,1.047166,1566.255
104.0892,41.59212,1.752414,1.082635,1566.255
104.2416,45.43293,1.75995,1.08373,1566.255
104.394,48.8182,1.745817,1.088531,1566.255
104.5464,49.57537,1.737444,1.087649,1564.629
104.6988,55.44317,1.742793,1.124427,1555.044
104.8512,64.16964,1.737726,1.19842,1563.228
105.0036,69.80857,1.765395,1.245872,1571.499
105.156,71.38836,1.787732,1.261443,1579.858
105.3084,71.9902,1.840329,1.251409,1588.306
105.4608,76.8832,1.843042,1.266355,1596.845
105.6132,74.77681,1.840998,1.231109,1596.429
105.7656,74.24646,1.840374,1.260027,1586.196
105.918,70.47827,1.857033,1.252027,1576.094
106.0704,73.86005,1.877498,1.300473,1566.304
106.2228,74.38318,1.895662,1.27986,1569.892
106.3752,77.38769,1.912902,1.257992,1573.496
106.5276,80.91871,1.881072,1.306862,1577.118
106.68,78.81955,1.875831,1.288919,1580.755
106.8324,76.12273,1.870113,1.271902,1586.496
106.9848,69.20663,1.897878,1.257245,1599.827
107.1372,66.34797,1.887875,1.223331,1592.444
107.2896,64.76477,1.86884,1.220555,1582.516
107.442,59.05072,1.838488,1.23303,1574.884
107.5944,62.51121,1.848208,1.257685,1574.884
107.7468,64.01918,1.862379,1.269941,1574.884
107.8992,68.82754,1.882886,1.269506,1592.431
108.0516,65.66191,1.86917,1.231832,1593.692
108.204,66.71181,1.855803,1.23526,1597.211
108.3564,65.96577,1.850705,1.226643,1600.746
108.5088,67.62068,1.85031,1.187888,1597.277
108.6612,64.53961,1.871715,1.185285,1592.39
108.8136,68.59487,1.850548,1.176623,1587.532
108.966,71.45971,1.841534,1.17739,1582.704
109.1184,73.26517,1.825508,1.147727,1577.906
109.2708,69.66131,1.824443,1.141004,1573.746
109.4232,67.254,1.805204,1.144636,1570.654
109.5756,64.16964,1.788262,1.152716,1567.575
109.728,66.87785,1.786231,1.153247,1566.255
109.8804,64.92192,1.787551,1.156327,1566.255
110.0328,71.46677,1.777592,1.158658,1566.255
110.1852,71.09064,1.79391,1.158488,1567.674
110.3376,72.29428,1.796681,1.166045,1570.486
110.49,64.84669,1.787946,1.169326,1573.309
110.6424,62.06325,1.779532,1.172582,1576.811
110.7948,59.35504,1.765767,1.164766,1581.174
110.9472,61.23574,1.77141,1.14282,1582.439
111.0996,60.63392,1.781102,1.13657,1579.813
111.252,62.58985,1.767048,1.156957,1577.195
111.4044,60.333,1.799425,1.17617,1575.778
111.5568,60.333,1.781909,1.191988,1583.642
111.7092,59.88163,1.778754,1.199143,1591.586
111.8616,60.70295,1.770121,1.18874,1599.609
112.014,63.11025,1.792403,1.191283,1596.962
112.1664,69.27897,1.810199,1.200324,1591.399
112.3188,75.52134,1.846029,1.211115,1585.874
112.4712,76.79309,1.860912,1.251853,1586.983
112.6236,75.58945,1.879915,1.214651,1592.756
112.776,72.1367,1.889647,1.176545,1598.571
112.9284,72.29077,1.892911,1.218444,1596.019
113.0808,69.4321,1.887861,1.228266,1585.949
113.2332,68.45091,1.879799,1.212971,1576.005
113.3856,65.9719,1.883641,1.196319,1566.185
113.538,62.50565,1.879854,1.216782,1558.886
113.6904,64.68678,1.896468,1.250344,1568.06
113.8428,67.08724,1.908461,1.264262,1577.342
113.9952,67.31867,1.918931,1.244863,1586.736
114.1476,65.51691,1.900915,1.239807,1585.438
114.3,64.3201,1.898565,1.238523,1585.438
